ueid,field_name,engineering_domain,value,unit,original_value,original_unit,data_type,confidence,source_id,conflicting_value,conflicting_source_id,resolution_note,governance_tier
GDPPE-AQ-CANON-PIXMA-PRO200,ink_subtype,Ink_System,Dye,,8-colour dye-based ink system (ChromaLife 100+),,Enumeration,High,SRC-A001,,,The dye anchor of the pilot. Dye now survives mainly in desktop photo printers; large-format has shifted to pigment.,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,print_architecture,Print_System,Scanning_Carriage,,,,Enumeration,High,SRC-A001,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,ink_type,Ink_System,Aqueous,,dye-based (water-based),,Enumeration,High,SRC-A001,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,print_technology,Print_System,Canon FINE thermal inkjet,,,,Text,High,SRC-A002,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,ink_channels,Ink_System,8,colours,8-colour: BK/C/M/Y/PC/PM/GY/LGY (CLI-65),,Integer,High,SRC-A001,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,native_resolution,Print_System,4800 x 2400,dpi,,,Text,High,SRC-A001,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,nozzle_count,Print_System,6144,count,"6,144 total (768 x 8)",,Integer,High,SRC-A001,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,max_media_size,Media_Handling,13 x 19,in,Borderless to 13x19 (A3+); custom to 13x39,in,Text,High,SRC-A002,,,,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,print_speed_detail,Print_System,90,sec/A3+,bordered A3+ approx 90s; 8x10 in 53s,sec,Integer,High,SRC-A002,,,"Desktop unit rated per-print, not m2/hr. Bordered A3+ colour ~90 sec.",Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,connectivity,Workflow,"Wi-Fi, Ethernet, USB",,,,Text,High,SRC-A001,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,ink_subtype,Ink_System,Pigment,,LUCIA PRO II pigment,,Enumeration,High,SRC-A004,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,print_architecture,Print_System,Scanning_Carriage,,,,Enumeration,High,SRC-A004,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,ink_type,Ink_System,Aqueous,,aqueous pigment (LUCIA PRO II),,Enumeration,High,SRC-A004,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,print_technology,Print_System,Canon PF-10 thermal inkjet (12-channel),,,,Text,High,SRC-A005,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,ink_channels,Ink_System,12,colours,11 colours + Chroma Optimizer (12 channels: MBK PBK C M Y Gy PC PM PGy R B + CO),,Integer,High,SRC-A004,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,native_resolution,Print_System,2400 x 1200,dpi,,,Text,High,SRC-A006,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,nozzle_count,Print_System,18432,count,"18,432 nozzles (1536 x 12)",,Integer,High,SRC-A006,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,print_width,Mechanical,1118,mm,44 in,in,Integer,High,SRC-A006,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,min_droplet_size,Print_System,4,picolitre,,,Integer,High,SRC-A006,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,max_speed,Print_System,8.4,sqm/hr,up to 90 sqft/hr,sqft/hr,Decimal,Medium_High,SRC-A005,,,"90 sqft/hr (~8.4 m2/h) per dealer guide; Canon rates an A1 in ~32s. Fine-art speed, not production.",Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,ink_cartridge_size,Ink_System,160,ml,160 / 330 / 700 ml options (PFI-3x00 / PFI-2x00 MBK),ml,Integer,High,SRC-A004,,,,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,certification,Environmental,EPEAT Gold,,,,Text,High,SRC-A004,,,,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,ink_subtype,Ink_System,Pigment,,HP Flex Tech pigment-based ink,,Enumeration,High,SRC-A009,,,HP moved DesignJet to pigment for durability - dealer notes pigment prints last longer than dye for wall displays.,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,print_architecture,Print_System,Scanning_Carriage,,,,Enumeration,High,SRC-A007,,,,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,ink_type,Ink_System,Aqueous,,water-based pigment (HP Flex Tech),,Enumeration,High,SRC-A009,,,,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,print_technology,Print_System,HP Thermal Inkjet,,,,Text,High,SRC-A007,,,,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,ink_channels,Ink_System,4,colours,4-colour pigment CMYmK (matte black + colour),,Integer,High,SRC-A008,,,,Public_Verifiable
