from_entity,relationship_type,to_entity,source_id,confidence,governance_tier
GDPPE-AQ-CANON-PIXMA-PRO200,MANUFACTURED_BY,MFG-CANON,SRC-A001,High,Public_Verifiable
GDPPE-AQ-CANON-PIXMA-PRO200,PART_OF_SERIES,FAM-CANON-PIXMA-PRO,SRC-A001,High,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,MANUFACTURED_BY,MFG-CANON,SRC-A004,High,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,PART_OF_SERIES,FAM-CANON-IPF-PRO,SRC-A004,High,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,MANUFACTURED_BY,MFG-HP,SRC-A007,High,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,PART_OF_SERIES,FAM-HP-DESIGNJET-T,SRC-A007,High,Public_Verifiable
GDPPE-AQ-EPSON-P8570DL,MANUFACTURED_BY,MFG-EPSON,SRC-A010,High,Public_Verifiable
GDPPE-AQ-EPSON-P8570DL,PART_OF_SERIES,FAM-EPSON-SURECOLOR-P,SRC-A010,High,Public_Verifiable
GDPPE-AQ-HP-PAGEWIDE-XL5200,MANUFACTURED_BY,MFG-HP,SRC-A013,High,Public_Verifiable
GDPPE-AQ-HP-PAGEWIDE-XL5200,PART_OF_SERIES,FAM-HP-PAGEWIDE-XL,SRC-A013,High,Public_Verifiable
GDPPE-AQ-CANON-IPF-PRO4600,COMPETES_WITH,GDPPE-AQ-EPSON-P8570DL,SRC-A004,Medium,Public_Verifiable
GDPPE-AQ-HP-DESIGNJET-T950,COMPETES_WITH,GDPPE-AQ-HP-PAGEWIDE-XL5200,SRC-A013,Low,Public_Verifiable
