from_entity,relationship_type,to_entity,source_id,confidence,governance_tier
GDPPE-DYESUB-SAWGRASS-SG1000,MANUFACTURED_BY,MFG-SAWGRASS,SRC-D001,High,Public_Verifiable
GDPPE-DYESUB-SAWGRASS-SG1000,PART_OF_SERIES,FAM-SAWGRASS-VIRTUOSO,SRC-D001,High,Public_Verifiable
GDPPE-DYESUB-EPSON-F6470,MANUFACTURED_BY,MFG-EPSON,SRC-D004,High,Public_Verifiable
GDPPE-DYESUB-EPSON-F6470,PART_OF_SERIES,FAM-EPSON-SURECOLOR-F,SRC-D004,High,Public_Verifiable
GDPPE-DYESUB-ROLAND-RT640,MANUFACTURED_BY,MFG-ROLAND,SRC-D007,High,Public_Verifiable
GDPPE-DYESUB-ROLAND-RT640,PART_OF_SERIES,FAM-ROLAND-TEXART,SRC-D007,High,Public_Verifiable
GDPPE-DYESUB-MIMAKI-TS330-1600,MANUFACTURED_BY,MFG-MIMAKI,SRC-D010,High,Public_Verifiable
GDPPE-DYESUB-MIMAKI-TS330-1600,PART_OF_SERIES,FAM-MIMAKI-TS,SRC-D010,High,Public_Verifiable
GDPPE-DYESUB-DURST-P5-TEX-ISUB,MANUFACTURED_BY,MFG-DURST,SRC-D013,High,Public_Verifiable
GDPPE-DYESUB-DURST-P5-TEX-ISUB,PART_OF_SERIES,FAM-DURST-P5-TEX,SRC-D013,High,Public_Verifiable
GDPPE-DYESUB-EPSON-F6470,COMPETES_WITH,GDPPE-DYESUB-ROLAND-RT640,SRC-D004,Medium,Public_Verifiable
GDPPE-DYESUB-ROLAND-RT640,COMPETES_WITH,GDPPE-DYESUB-MIMAKI-TS330-1600,SRC-D010,Medium,Public_Verifiable
GDPPE-DYESUB-MIMAKI-TS330-1600,COMPETES_WITH,GDPPE-DYESUB-DURST-P5-TEX-ISUB,SRC-D013,Low,Public_Verifiable
