from_entity,relationship_type,to_entity,source_id,confidence,governance_tier
GDPPE-OFF-HDB-SX52,MANUFACTURED_BY,MFG-HEIDELBERG,SRC-OF001,High,Public_Verifiable
GDPPE-OFF-HDB-SX52,PART_OF_SERIES,FAM-HDB-SPEEDMASTER-SX,SRC-OF001,High,Public_Verifiable
GDPPE-OFF-KOM-G37,MANUFACTURED_BY,MFG-KOMORI,SRC-OF004,High,Public_Verifiable
GDPPE-OFF-KOM-G37,PART_OF_SERIES,FAM-KOM-LITHRONE-G37,SRC-OF004,High,Public_Verifiable
GDPPE-OFF-RMGT-970,MANUFACTURED_BY,MFG-RMGT,SRC-OF006,High,Public_Verifiable
GDPPE-OFF-RMGT-970,PART_OF_SERIES,FAM-RMGT-9,SRC-OF006,High,Public_Verifiable
GDPPE-OFF-KOM-G40,MANUFACTURED_BY,MFG-KOMORI,SRC-OF009,High,Public_Verifiable
GDPPE-OFF-KOM-G40,PART_OF_SERIES,FAM-KOM-LITHRONE-G40,SRC-OF009,High,Public_Verifiable
GDPPE-OFF-HDB-XL106,MANUFACTURED_BY,MFG-HEIDELBERG,SRC-OF011,High,Public_Verifiable
GDPPE-OFF-HDB-XL106,PART_OF_SERIES,FAM-HDB-SPEEDMASTER-XL,SRC-OF011,High,Public_Verifiable
GDPPE-OFF-KOM-G37,COMPETES_WITH,GDPPE-OFF-RMGT-970,SRC-OF006,Medium,Public_Verifiable
GDPPE-OFF-KOM-G40,COMPETES_WITH,GDPPE-OFF-HDB-XL106,SRC-OF011,Medium,Public_Verifiable
GDPPE-OFF-HDB-XL106,LARGER_FORMAT_THAN,GDPPE-OFF-HDB-SX52,SRC-OF011,High,Public_Verifiable
GDPPE-OFF-RMGT-970,BRIDGES_FORMAT,GDPPE-OFF-KOM-G40,SRC-OF006,Low,Public_Verifiable
