source_id,source_title,source_type,tier,organization,url,date_accessed,confidence
SRC-OF001,Speedmaster SX 52 - Heidelberg (official product page),Datasheet,1,Heidelberg,https://www.heidelberg.com/global/en/products/offset_printing/format_35_x_50/sx_52/product_information_8/product_information_11.jsp,2026-07-06,High
SRC-OF002,The all-rounder: Speedmaster SX 52 (Heidelberg brochure PDF),Datasheet,1,Heidelberg,https://pdf.directindustry.com/pdf/heidelberger-druckmaschinen-ag/all-rounder-speedmaster-sx-52/124193-674747.html,2026-07-06,High
SRC-OF003,Heidelberg Speedmaster SX 52 full spec sheet (The Machine Market),Dealer_Page,2,The Machine Market,https://themachinemarket.com/heidelberg-speedmaster-sx-52/,2026-07-06,Medium_High
SRC-OF004,Lithrone G37 - Komori Europe (official),Datasheet,1,Komori,https://www.komori.eu/products/press/sheetfed/lithrone-g37.html,2026-07-06,High
SRC-OF005,Komori Lithrone G Series - Komori Corporation (official),Datasheet,1,Komori,https://www.komori.com/en/global/product/press/offset/lith-g/,2026-07-06,Medium_High
SRC-OF006,RMGT 9 (A1-Plus Size) 970 model - RYOBI MHI Graphic Technology (official),Datasheet,1,RMGT,https://www.ryobi-group.co.jp/graphic/english/products/A1-plus/970.php,2026-07-06,High
SRC-OF007,RMGT 970 tech info (straight/perfector specs),Datasheet,1,RMGT,https://rmgt970.com/rmgt-9-tech-info/,2026-07-06,High
SRC-OF008,RMGT 970 spec summary (RM Machinery),Dealer_Page,2,RM Machinery,https://www.rmgt.com/rmgt-970/,2026-07-06,Medium_High
SRC-OF009,Lithrone G40 advance - Komori Europe (official),Datasheet,1,Komori,https://www.komori.eu/products/press/sheetfed/lithrone-gx/g-advance-series/lithrone-g40-advance.html,2026-07-06,High
SRC-OF010,Komori Lithrone G40P advance perfector - Komori America (official),Datasheet,1,Komori America,https://www.komori-america.us/products/commercial-sheetfed-solutions/lithrone-g40p-advance-perfector,2026-07-06,High
SRC-OF011,Speedmaster XL 106 - Heidelberg (official product page),Datasheet,1,Heidelberg,https://www.heidelberg.com/global/en/products/offset_printing/format_70_x_100/speedmaster_xl_106/product_information_12/product_information_20.jsp,2026-07-06,High
SRC-OF012,Technical data Speedmaster XL 106 (Heidelberg PDF),Datasheet,1,Heidelberg,https://www.heidelberg.com/global/media/en/global_media/products___sheetfed_offset/2020_20/technical_data_1/technical-data-speedmaster-xl-106.pdf,2026-07-06,High
SRC-OF013,Speedmaster XL 106 with 21K - Heidelberg (official),Datasheet,1,Heidelberg,https://www.heidelberg.com/global/en/products/offset_printing/format_70_x_100/speedmaster_xl_106/product_information_12/speedmaster_xl_106_21_k.jsp,2026-07-06,High
