from_entity,relationship_type,to_entity,source_id,confidence,governance_tier
GDPPE-SCRN-VASTEX-V2000HD,MANUFACTURED_BY,MFG-VASTEX,SRC-SP001,High,Public_Verifiable
GDPPE-SCRN-VASTEX-V2000HD,PART_OF_SERIES,FAM-VASTEX-V2000,SRC-SP001,High,Public_Verifiable
GDPPE-SCRN-MR-SPORTSMAN-EX,MANUFACTURED_BY,MFG-MR,SRC-SP004,High,Public_Verifiable
GDPPE-SCRN-MR-SPORTSMAN-EX,PART_OF_SERIES,FAM-MR-SPORTSMAN,SRC-SP004,High,Public_Verifiable
GDPPE-SCRN-ROQ-NEXT,MANUFACTURED_BY,MFG-ROQ,SRC-SP007,High,Public_Verifiable
GDPPE-SCRN-ROQ-NEXT,PART_OF_SERIES,FAM-ROQ-NEXT,SRC-SP007,High,Public_Verifiable
GDPPE-SCRN-MR-CHALLENGER-III,MANUFACTURED_BY,MFG-MR,SRC-SP010,High,Public_Verifiable
GDPPE-SCRN-MR-CHALLENGER-III,PART_OF_SERIES,FAM-MR-CHALLENGER,SRC-SP010,High,Public_Verifiable
GDPPE-SCRN-MR-SPORTSMAN-EX,COMPETES_WITH,GDPPE-SCRN-ROQ-NEXT,SRC-SP007,Medium,Public_Verifiable
GDPPE-SCRN-MR-CHALLENGER-III,HIGHER_TIER_THAN,GDPPE-SCRN-MR-SPORTSMAN-EX,SRC-SP010,Medium,Public_Verifiable
GDPPE-SCRN-MR-SPORTSMAN-EX,AUTOMATES,GDPPE-SCRN-VASTEX-V2000HD,SRC-SP004,Low,Public_Verifiable
