from_entity,relationship_type,to_entity,source_id,confidence,governance_tier
GDPPE-TONER-HP-INDIGO-100K,MANUFACTURED_BY,MFG-HP,SRC-T001,High,Public_Verifiable
GDPPE-TONER-HP-INDIGO-100K,PART_OF_SERIES,FAM-HP-INDIGO-100K,SRC-T001,High,Public_Verifiable
GDPPE-TONER-XEROX-IGEN5,MANUFACTURED_BY,MFG-XEROX,SRC-T005,High,Public_Verifiable
GDPPE-TONER-XEROX-IGEN5,PART_OF_SERIES,FAM-XEROX-IGEN5,SRC-T005,High,Public_Verifiable
GDPPE-TONER-CANON-IPV1350,MANUFACTURED_BY,MFG-CANON,SRC-T008,High,Public_Verifiable
GDPPE-TONER-CANON-IPV1350,PART_OF_SERIES,FAM-CANON-IPV,SRC-T008,High,Public_Verifiable
GDPPE-TONER-KM-C14000,MANUFACTURED_BY,MFG-KONICA,SRC-T011,High,Public_Verifiable
GDPPE-TONER-KM-C14000,PART_OF_SERIES,FAM-KM-ACCURIO-C14000,SRC-T011,High,Public_Verifiable
GDPPE-TONER-RICOH-C9500,MANUFACTURED_BY,MFG-RICOH,SRC-T014,High,Public_Verifiable
GDPPE-TONER-RICOH-C9500,PART_OF_SERIES,FAM-RICOH-PRO-C9500,SRC-T014,High,Public_Verifiable
GDPPE-TONER-XEROX-V4100,MANUFACTURED_BY,MFG-XEROX,SRC-T017,High,Public_Verifiable
GDPPE-TONER-XEROX-V4100,PART_OF_SERIES,FAM-XEROX-VERSANT,SRC-T017,High,Public_Verifiable
GDPPE-TONER-HP-INDIGO-100K,REQUIRES_SOFTWARE,DFE-HP-SMARTSTREAM-PRO,SRC-T003,High,Public_Verifiable
GDPPE-TONER-XEROX-IGEN5,REQUIRES_SOFTWARE,DFE-XEROX-FREEFLOW,SRC-T006,High,Public_Verifiable
GDPPE-TONER-CANON-IPV1350,REQUIRES_SOFTWARE,DFE-CANON-PRISMASYNC,SRC-T010,High,Public_Verifiable
GDPPE-TONER-RICOH-C9500,REQUIRES_SOFTWARE,DFE-EFI-FIERY,SRC-T015,High,Public_Verifiable
GDPPE-TONER-XEROX-V4100,REQUIRES_SOFTWARE,DFE-EFI-FIERY,SRC-T017,High,Public_Verifiable
GDPPE-TONER-HP-INDIGO-100K,COMPETES_WITH,GDPPE-TONER-XEROX-IGEN5,SRC-T001,Medium,Public_Verifiable
GDPPE-TONER-CANON-IPV1350,COMPETES_WITH,GDPPE-TONER-KM-C14000,SRC-T008,Medium,Public_Verifiable
GDPPE-TONER-CANON-IPV1350,COMPETES_WITH,GDPPE-TONER-RICOH-C9500,SRC-T008,Medium,Public_Verifiable
